episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3934.089554309845, 3, 10.169986073000018, 182, 25036,                                             25036, 4.481642246246338, 239.5315704345703
2, -2307.3338919878006, 2, 5.49248635999993, 91, 25127,                                             25127, 4.73114538192749, 239.93846130371094
3, -2169.836108446121, 2, 2.1175122699999065, 30, 25157,                                             25157, 3.946608066558838, 240.18646240234375
4, 2187.2079892754555, 1, 8.568239306000123, 131, 25288,                                             25288, 4.617238998413086, 239.35743713378906
5, -3415.08451461792, 2, 22.323056443999803, 378, 25666,                                             25666, 5.137374401092529, 239.2323760986328
6, -2211.624502182007, 2, 2.5287396019998596, 48, 25714,                                             25714, 3.3756492137908936, 240.24725341796875
7, -2274.326569736004, 2, 5.9961133240001345, 91, 25805,                                             25805, 5.86826753616333, 239.65431213378906
8, -2306.9455256462097, 2, 4.165472376000025, 66, 25871,                                             25871, 5.064929008483887, 240.19076538085938
9, -1866.2484666109085, 4, 25.309321718000092, 388, 26259,                                             26259, 5.6634063720703125, 241.50804138183594
10, -2459.481738090515, 3, 8.173408082000151, 129, 26388,                                             26388, 5.090087413787842, 242.10203552246094
11, -2732.7206752300262, 2, 12.061503710000125, 194, 26582,                                             26582, 5.06898307800293, 242.29490661621094
12, -2583.580688416958, 3, 9.635546132999934, 153, 26735,                                             26735, 6.065505504608154, 242.5479278564453
13, -1418.8905135393143, 4, 24.24800378100008, 438, 27173,                                             27173, 5.25559663772583, 243.53347778320312
14, -2753.3872179985046, 2, 10.37110334099998, 172, 27345,                                             27345, 5.843383312225342, 245.11639404296875
15, -1767.3670140504837, 4, 21.962659965000057, 450, 27795,                                             27795, 6.278843402862549, 245.34597778320312
16, -2558.1489473581314, 2, 8.949992789000135, 124, 27919,                                             27919, 6.3794708251953125, 245.7696075439453
17, -2554.0997577905655, 3, 9.381814914000188, 148, 28067,                                             28067, 5.091972351074219, 247.08065795898438
18, -1168.6602824926376, 4, 23.173125749000064, 356, 28423,                                             28423, 5.8476715087890625, 247.54066467285156
19, -2638.5829516649246, 2, 9.780369016000122, 134, 28557,                                             28557, 6.208566665649414, 248.88943481445312
20, 2023.8586956262589, 1, 12.459428825000032, 180, 28737,                                             28737, 5.709444046020508, 249.10694885253906
21, -2271.65052318573, 2, 4.764446760000055, 55, 28792,                                             28792, 5.736171245574951, 249.7090301513672
22, -2333.3378806114197, 2, 4.524823146000017, 66, 28858,                                             28858, 7.873771667480469, 249.52938842773438
23, -3169.869138598442, 2, 10.516273253000008, 138, 28996,                                             28996, 6.255962371826172, 250.57113647460938
24, -2875.124017596245, 2, 13.608054458999959, 168, 29164,                                             29164, 6.618861675262451, 250.38497924804688
25, -2522.2233273983, 2, 8.830882255000006, 106, 29270,                                             29270, 6.538932800292969, 250.1288299560547
26, -2778.682944417, 3, 13.792555557000014, 177, 29447,                                             29447, 6.5996222496032715, 250.8274383544922
27, -2406.350454568863, 2, 7.962504674999991, 94, 29541,                                             29541, 5.778712272644043, 251.21133422851562
28, -2233.8036398887634, 2, 3.566282622000017, 42, 29583,                                             29583, 4.97152042388916, 252.8446502685547
29, -2248.634106874466, 2, 4.5579592039998715, 54, 29637,                                             29637, 8.846038818359375, 253.8657989501953
30, -2574.4219139814377, 2, 3.9681964950000292, 58, 29695,                                             29695, 6.817739009857178, 253.23239135742188
31, -2399.5298714637756, 2, 6.92814502300007, 90, 29785,                                             29785, 6.085331439971924, 253.3524932861328
32, -2237.470543384552, 2, 3.3693852349999815, 39, 29824,                                             29824, 7.104072570800781, 253.51461791992188
33, -2294.8109152913094, 2, 7.578323045000161, 94, 29918,                                             29918, 6.567324161529541, 254.71885681152344
34, -2281.4469695091248, 2, 5.149047553000173, 59, 29977,                                             29977, 8.879494667053223, 252.57550048828125
35, -1188.7610251903534, 4, 25.094777683000075, 330, 30307,                                             30307, 8.08265209197998, 254.51327514648438
36, -2355.6416969895363, 2, 8.393627783000056, 105, 30412,                                             30412, 7.480295181274414, 254.85179138183594
37, -2291.313488841057, 3, 8.498639453999886, 104, 30516,                                             30516, 7.429998397827148, 256.142333984375
38, -2527.9941890239716, 2, 8.799934101999952, 104, 30620,                                             30620, 8.290352821350098, 256.76190185546875
39, -2150.3583220243454, 2, 2.920824062000065, 33, 30653,                                             30653, 5.447277545928955, 255.9156951904297
40, -2337.863167345524, 2, 6.94251717599991, 100, 30753,                                             30753, 7.074021816253662, 256.44647216796875
41, -2645.6453285217285, 2, 13.199239713999987, 176, 30929,                                             30929, 7.219802379608154, 258.0384216308594
42, -2530.060847878456, 2, 10.026419088000011, 123, 31052,                                             31052, 8.19533634185791, 258.4311828613281
43, -2472.742035150528, 2, 8.56280363499991, 105, 31157,                                             31157, 7.908397674560547, 259.043701171875
44, -2985.1744636297226, 2, 16.011121688000003, 199, 31356,                                             31356, 8.11185359954834, 260.1258544921875
45, -2220.7054193019867, 2, 7.157880089000173, 83, 31439,                                             31439, 7.221243381500244, 259.5186767578125
46, -2466.9698320627213, 2, 10.012566692000064, 126, 31565,                                             31565, 7.570137977600098, 260.8125
47, -2327.9467471837997, 2, 6.986396868000156, 88, 31653,                                             31653, 8.621682167053223, 261.3863525390625
48, 1833.0454074144363, 1, 12.809097721999933, 176, 31829,                                             31829, 8.00910472869873, 261.5822448730469
49, -2170.199812889099, 2, 2.9219437699998707, 33, 31862,                                             31862, 8.268091201782227, 261.8942565917969
50, -2465.7318997979164, 2, 9.78185042799987, 123, 31985,                                             31985, 7.701500415802002, 262.31671142578125
51, 2398.9754408597946, 1, 5.45095991900007, 69, 32054,                                             32054, 7.0126633644104, 262.8062744140625
52, -2446.6500425338745, 2, 2.5563149370000247, 30, 32084,                                             32084, 8.987842559814453, 264.4280700683594
53, -2242.6474034786224, 2, 2.525407044000076, 30, 32114,                                             32114, 6.487097263336182, 263.5676574707031
54, -2392.172901034355, 2, 9.376409298999988, 116, 32230,                                             32230, 8.065865516662598, 264.0130615234375
55, -2813.7253717184067, 3, 13.776409892999709, 185, 32415,                                             32415, 9.421358108520508, 264.6312561035156
56, 2340.8545780181885, 1, 5.346169986999939, 64, 32479,                                             32479, 8.505728721618652, 264.4732666015625
57, -2454.942109107971, 2, 4.000223099999857, 48, 32527,                                             32527, 10.175027847290039, 265.4700012207031
58, -2159.0022896528244, 2, 2.51259438399984, 30, 32557,                                             32557, 10.15058708190918, 266.20819091796875
59, -2142.2922633886337, 2, 2.7291682550003316, 33, 32590,                                             32590, 8.73318099975586, 265.4490661621094
60, -2322.249102950096, 2, 5.987062102999971, 70, 32660,                                             32660, 9.490823745727539, 266.5979309082031
61, -2247.655163049698, 2, 2.983549432000018, 35, 32695,                                             32695, 8.917865753173828, 266.3203430175781
62, -2227.0668989419937, 2, 4.3330952649998835, 56, 32751,                                             32751, 8.808625221252441, 266.224853515625
63, -2260.932822227478, 2, 4.332621431000007, 52, 32803,                                             32803, 8.353021621704102, 266.3276062011719
64, -2379.4771983623505, 2, 7.572754404000079, 94, 32897,                                             32897, 10.843323707580566, 266.78662109375
65, -2375.0560834407806, 2, 8.218722641000113, 98, 32995,                                             32995, 8.774707794189453, 267.55389404296875
66, -2144.4464500546455, 2, 3.116931741999906, 37, 33032,                                             33032, 8.747467994689941, 267.63983154296875
67, -2265.645935535431, 2, 4.145439895999971, 52, 33084,                                             33084, 11.034181594848633, 268.3554992675781
68, 2415.776811301708, 1, 3.7306022470002063, 43, 33127,                                             33127, 9.865471839904785, 267.9345397949219
69, -2928.0769426822662, 2, 11.62661838000031, 142, 33269,                                             33269, 10.322349548339844, 268.9313659667969
70, -2212.2280447483063, 2, 2.718331046000003, 30, 33299,                                             33299, 11.289799690246582, 267.9449157714844
71, -2233.669806599617, 2, 2.847913195000274, 32, 33331,                                             33331, 8.362339973449707, 267.65423583984375
72, -2403.4713728427887, 2, 7.679910398000175, 71, 33402,                                             33402, 9.416947364807129, 269.8013610839844
73, -2568.941046476364, 2, 7.014069599999857, 83, 33485,                                             33485, 9.762374877929688, 269.8445129394531
74, -2172.2793180942535, 2, 3.318740485000035, 40, 33525,                                             33525, 8.853971481323242, 271.41644287109375
75, -2323.753098487854, 2, 7.014296404999641, 89, 33614,                                             33614, 9.99116039276123, 270.6072692871094
76, -2255.881102323532, 2, 3.3264260150003793, 40, 33654,                                             33654, 9.004472732543945, 271.66552734375
