episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -10399.07416832447, 2, 33.05753521399993, 1035, 25631,                                             25631, 4.1875739097595215, 201.59303283691406
2, -9672.724729180336, 4, 55.768000144000325, 1563, 27194,                                             27194, 4.312911033630371, 214.47421264648438
3, -10039.358351707458, 4, 57.57676701700029, 1663, 28857,                                             28857, 4.330723285675049, 237.1979522705078
4, -10389.176256895065, 4, 59.026522176999606, 1717, 30574,                                             30574, 4.542089939117432, 262.53875732421875
5, -8767.321594715118, 4, 56.61971754999968, 1473, 32047,                                             32047, 4.581129550933838, 283.9306335449219
6, -9366.1119992733, 4, 58.04398024600005, 1489, 33536,                                             33536, 4.664826393127441, 302.550048828125
7, -9559.11108660698, 4, 56.073836249000124, 1569, 35105,                                             35105, 4.81520938873291, 321.78765869140625
8, -4726.202603340149, 4, 57.44278941799985, 1351, 36456,                                             36456, 4.965982437133789, 330.8477783203125
9, -5084.382520914078, 4, 59.48578679000002, 1703, 38159,                                             38159, 4.94436502456665, 330.0635986328125
10, -4284.980185508728, 2, 21.371336560000145, 584, 38743,                                             38743, 4.908774375915527, 327.30426025390625
11, -2579.8295887708664, 2, 5.935677490999751, 162, 38905,                                             38905, 5.116084575653076, 328.7032470703125
12, -5261.566836595535, 2, 37.185481912999876, 1087, 39992,                                             39992, 5.1124491691589355, 327.4255676269531
13, -8841.745833873749, 2, 39.21206101600001, 1043, 41035,                                             41035, 5.231282711029053, 328.845458984375
14, -7314.741889715195, 2, 31.51661113199998, 730, 41765,                                             41765, 5.327612400054932, 331.7800598144531
15, -2839.907188653946, 2, 12.584530529000403, 334, 42099,                                             42099, 5.524287223815918, 339.4217834472656
16, -4023.479698717594, 2, 35.02624242599995, 1034, 43133,                                             43133, 5.679994106292725, 337.7909240722656
17, -2706.731681585312, 2, 8.344867480000175, 181, 43314,                                             43314, 5.768801689147949, 339.94146728515625
18, -3567.1628271341324, 2, 28.839467927999976, 770, 44084,                                             44084, 5.762814998626709, 339.1488342285156
19, -4639.139595508575, 2, 19.41915613800029, 482, 44566,                                             44566, 6.007575035095215, 339.3935241699219
20, 1153.6592821478844, 1, 22.19036799999958, 587, 45153,                                             45153, 5.804069995880127, 341.1929931640625
21, -2982.335446715355, 2, 8.694549673999973, 240, 45393,                                             45393, 6.08058500289917, 339.5704040527344
22, -5412.414151549339, 2, 34.826215058000344, 1014, 46407,                                             46407, 5.972344875335693, 338.21807861328125
23, -3999.642170906067, 2, 10.73372031800045, 329, 46736,                                             46736, 6.060283660888672, 338.07061767578125
24, -3019.53208476305, 2, 15.514776449000237, 435, 47171,                                             47171, 6.091022968292236, 338.1228332519531
25, -3170.3731907606125, 2, 14.74516516499989, 395, 47566,                                             47566, 6.06685209274292, 338.63653564453125
26, -3947.553874015808, 2, 23.175613318000615, 712, 48278,                                             48278, 6.420759201049805, 336.6270751953125
27, -5606.949591517448, 2, 42.0367778509999, 1244, 49522,                                             49522, 6.574601650238037, 335.3033752441406
28, -11108.37208724022, 2, 46.10813249400053, 1421, 50943,                                             50943, 7.00925350189209, 334.470703125
29, -3199.025578737259, 2, 11.148651337000047, 307, 51250,                                             51250, 6.918073654174805, 337.64788818359375
30, -4681.180795550346, 2, 24.360994116000256, 758, 52008,                                             52008, 7.058561325073242, 335.2982177734375
31, -4197.5771107673645, 2, 11.239151419000336, 337, 52345,                                             52345, 7.329842567443848, 335.9451599121094
