episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3764.989111185074, 4, 23.68371461300012, 374, 25118,                                             25118, 2.9594688415527344, 153.12319946289062
2, -3374.414764523506, 2, 15.387963306000529, 236, 25354,                                             25354, 3.2652928829193115, 154.755615234375
3, -2297.1735968589783, 2, 4.525821915000051, 57, 25411,                                             25411, 3.1618893146514893, 155.4482879638672
4, -2517.869683623314, 2, 7.980855067000448, 112, 25523,                                             25523, 3.17443585395813, 156.4910888671875
5, -2252.629732608795, 2, 2.736164133000784, 39, 25562,                                             25562, 4.588683128356934, 155.67648315429688
6, -2640.4616218805313, 2, 10.703610890999698, 189, 25751,                                             25751, 3.6000499725341797, 157.18853759765625
7, 2479.1820715665817, 1, 2.14962510100122, 30, 25781,                                             25781, 3.8732540607452393, 158.13681030273438
8, -2355.605118751526, 2, 2.3146686399995815, 31, 25812,                                             25812, 3.8390188217163086, 158.74066162109375
9, -2262.768138885498, 2, 3.937181444000089, 52, 25864,                                             25864, 4.119527816772461, 158.37106323242188
10, -2489.4432945251465, 2, 6.341023220998977, 112, 25976,                                             25976, 3.9385769367218018, 158.34707641601562
11, -2778.761939764023, 2, 15.938920190999852, 283, 26259,                                             26259, 4.311471939086914, 160.6782989501953
12, -2430.990342259407, 2, 5.341023363998829, 75, 26334,                                             26334, 4.009252071380615, 160.9163818359375
13, -2212.8833272457123, 2, 3.9360918319998746, 48, 26382,                                             26382, 3.8257529735565186, 160.18377685546875
14, -2265.38468337059, 2, 4.353392471000916, 61, 26443,                                             26443, 4.566402435302734, 160.86146545410156
15, -2215.4711718559265, 2, 2.7717387480006437, 42, 26485,                                             26485, 4.540769577026367, 161.2838592529297
16, -4850.648347496986, 2, 19.153186465000545, 295, 26780,                                             26780, 4.466641426086426, 162.49911499023438
17, -2614.922340989113, 2, 8.2098875770007, 118, 26898,                                             26898, 4.334579944610596, 162.544189453125
18, -2970.088571190834, 2, 16.71189690400024, 268, 27166,                                             27166, 4.295947074890137, 163.87274169921875
19, -2363.0238332748413, 2, 6.004820760999792, 85, 27251,                                             27251, 5.378078937530518, 164.1439971923828
20, -2261.0584664344788, 2, 7.785116527000355, 102, 27353,                                             27353, 4.125827312469482, 164.29013061523438
21, -2866.4290741682053, 3, 14.6866803289995, 210, 27563,                                             27563, 4.631329536437988, 165.5846710205078
22, -2274.9284008145332, 2, 7.766684572001395, 111, 27674,                                             27674, 4.952716827392578, 166.59848022460938
23, -2570.9390971660614, 2, 5.367892837999534, 80, 27754,                                             27754, 4.187029838562012, 166.25482177734375
24, -2147.3533405065536, 2, 3.317644062000909, 46, 27800,                                             27800, 4.510332107543945, 166.65185546875
25, -4408.872674465179, 2, 20.875023522001356, 309, 28109,                                             28109, 4.604608058929443, 167.3001251220703
26, -2260.7870774269104, 2, 3.9332793270004913, 57, 28166,                                             28166, 6.6538777351379395, 167.23703002929688
27, -3702.6751079559326, 2, 21.464681286000996, 323, 28489,                                             28489, 5.281357765197754, 168.71548461914062
28, -2693.1631996631622, 2, 7.44137817200135, 105, 28594,                                             28594, 4.462590217590332, 169.4268798828125
29, -2277.9818770885468, 2, 4.323097230000712, 62, 28656,                                             28656, 5.22022008895874, 171.67567443847656
30, -2172.449715733528, 2, 2.552405260999876, 39, 28695,                                             28695, 6.293312072753906, 169.27609252929688
31, -2477.325719833374, 2, 9.615238858001248, 140, 28835,                                             28835, 5.747405052185059, 169.552978515625
32, -2847.9516048431396, 2, 15.054970434001007, 212, 29047,                                             29047, 4.81687068939209, 170.77432250976562
33, -2605.671100497246, 2, 12.77414596699964, 202, 29249,                                             29249, 5.6083083152771, 171.3103485107422
34, -2332.6982209682465, 2, 6.523006188001091, 92, 29341,                                             29341, 4.979210376739502, 172.06935119628906
35, -2310.7449712753296, 2, 5.7414845200000855, 87, 29428,                                             29428, 6.185650825500488, 171.74317932128906
36, -2343.2864973545074, 2, 4.158020983000824, 65, 29493,                                             29493, 5.102080345153809, 172.03424072265625
37, -2259.658650636673, 2, 4.324227883998901, 66, 29559,                                             29559, 4.972903251647949, 173.04180908203125
